WingName                 ControlPoint(x)          ControlPoint(y)          ControlPoint(z)          Chord                    Twist(deg)               Sweep(deg)               Dihedral(deg)            Area                     Section_Alpha(deg)       Section_CL               Section_CD_parasitic     Section_Cm               CL(Ref)                  Section_alpha_L0(deg)    
Main                 0.0000000000000E+00      3.9047161253513E+00     -1.2460345593223E-01      1.0000000000000E+00      1.4510677587183E+00      0.0000000000000E+00     -3.8400018589748E+00      3.6470838510469E-02      1.8143027166097E+00      1.9896055640844E-01      0.0000000000000E+00      0.0000000000000E+00      1.9896055640844E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      3.9399347635396E+00     -1.2225298158708E-01      1.0000000000000E+00      1.2605004357236E+00      0.0000000000000E+00     -3.7957179214147E+00      3.4114429325176E-02      1.6363912024143E+00      1.7945037570280E-01      0.0000000000000E+00      0.0000000000000E+00      1.7945037570280E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      3.9727859183523E+00     -1.2007229732412E-01      1.0000000000000E+00      1.0827477552843E+00      0.0000000000000E+00     -3.7998880406644E+00      3.1724353316824E-02      1.4677397951435E+00      1.6095567935336E-01      0.0000000000000E+00      0.0000000000000E+00      1.6095567935336E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.0032355056944E+00     -1.1803863164090E-01      1.0000000000000E+00      9.1798513783552E-01      0.0000000000000E+00     -3.8429529822397E+00      2.9302969201876E-02      1.3083535881193E+00      1.4347702590536E-01      0.0000000000000E+00      0.0000000000000E+00      1.4347702590536E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.0312524642541E+00     -1.1613912523529E-01      1.0000000000000E+00      7.6637518418875E-01      0.0000000000000E+00     -3.9158973921758E+00      2.6852666594116E-02      1.1581657772267E+00      1.2700708946786E-01      0.0000000000000E+00      0.0000000000000E+00      1.2700708946786E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.0568086592509E+00     -1.1436911383408E-01      1.0000000000000E+00      6.2806751506412E-01      0.0000000000000E+00     -4.0102941058494E+00      2.4375863646389E-02      1.0170074646481E+00      1.1152734832257E-01      0.0000000000000E+00      0.0000000000000E+00      1.1152734832257E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.0798788132019E+00     -1.1273045551459E-01      1.0000000000000E+00      5.0319862343298E-01      0.0000000000000E+00     -4.1183454386401E+00      2.1875004664177E-02      8.8457176564000E-01      9.7004148791555E-02      0.0000000000000E+00      0.0000000000000E+00      9.7004148791555E-02      0.0000000000000E+00
Main                 0.0000000000000E+00      4.1004404480613E+00     -1.1122992697343E-01      1.0000000000000E+00      3.9189173981575E-01      0.0000000000000E+00     -4.2329212875499E+00      1.9352557693363E-02      7.6038061209307E-01      8.3385064840186E-02      0.0000000000000E+00      0.0000000000000E+00      8.3385064840186E-02      0.0000000000000E+00
Main                 0.0000000000000E+00      4.1184738286757E+00     -1.0987771157727E-01      1.0000000000000E+00      2.9425671066833E-01      0.0000000000000E+00     -4.3475938861778E+00      1.6811012084568E-02      6.4376503688162E-01      7.0596736014159E-02      0.0000000000000E+00      0.0000000000000E+00      7.0596736014159E-02      0.0000000000000E+00
Main                 0.0000000000000E+00      4.1339619023410E+00     -1.0868600025461E-01      1.0000000000000E+00      2.1038988997686E-01      0.0000000000000E+00     -4.4566690693634E+00      1.4252876036462E-02      5.3386720826453E-01      5.8545090536498E-02      0.0000000000000E+00      0.0000000000000E+00      5.8545090536498E-02      0.0000000000000E+00
Main                 0.0000000000000E+00      4.1468902332095E+00     -1.0766772433397E-01      1.0000000000000E+00      1.4037404416801E-01      0.0000000000000E+00     -4.5552139182842E+00      1.1680674120481E-02      4.2966587655652E-01      4.7118135847335E-02      0.0000000000000E+00      0.0000000000000E+00      4.7118135847335E-02      0.0000000000000E+00
Main                 0.0000000000000E+00      4.1572469333111E+00     -1.0683543731282E-01      1.0000000000000E+00      8.4278270428460E-02      0.0000000000000E+00     -4.6390806718074E+00      9.0969447893664E-03      3.3002042238957E-01      3.6190789036283E-02      0.0000000000000E+00      0.0000000000000E+00      3.6190789036283E-02      0.0000000000000E+00
Main                 0.0000000000000E+00      4.1650225939729E+00     -1.0620036028033E-01      1.0000000000000E+00      4.2157928514381E-02      0.0000000000000E+00     -4.7049268053381E+00      6.5042378720333E-03      2.3372661907026E-01      2.5630991869195E-02      0.0000000000000E+00      0.0000000000000E+00      2.5630991869195E-02      0.0000000000000E+00
Main                 0.0000000000000E+00      4.1702102225033E+00     -1.0577160335222E-01      1.0000000000000E+00      1.4054586117986E-02      0.0000000000000E+00     -4.7502311942646E+00      3.9051120571862E-03      1.3958133883533E-01      1.5306806623101E-02      0.0000000000000E+00      0.0000000000000E+00      1.5306806623101E-02      0.0000000000000E+00
Main                 0.0000000000000E+00      4.1728051892013E+00     -1.0555557304462E-01      1.0000000000000E+00     -4.0221547324079E-06      0.0000000000000E+00     -4.7733062952760E+00      1.3021323682083E-03      4.6466532947651E-02      5.0956255342611E-03      0.0000000000000E+00      0.0000000000000E+00      5.0956255342611E-03      0.0000000000000E+00
Main                 0.0000000000000E+00     -3.2555317339567E-04     -2.6388888888774E+00      1.0000000000000E+00      7.4906963983715E+00      0.0000000000000E+00     -2.0302631172020E-06      1.3021323682083E-03      7.1703306730777E+00      7.8631474631416E-01      0.0000000000000E+00      0.0000000000000E+00      7.8631474631416E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -2.9294966281280E-03     -2.6388888841734E+00      1.0000000000000E+00      7.4890552262080E+00      0.0000000000000E+00     -1.6439721796330E-04      3.9051120571862E-03      7.1700304448577E+00      7.8628182260570E-01      0.0000000000000E+00      0.0000000000000E+00      7.8628182260570E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -8.1348137590686E-03     -2.6388888128658E+00      1.0000000000000E+00      7.4857745015197E+00      0.0000000000000E+00     -1.2676626307874E-03      6.5042378720333E-03      7.1687674967765E+00      7.8614332485080E-01      0.0000000000000E+00      0.0000000000000E+00      7.8614332485080E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -1.5936367531993E-02     -2.6388883749927E+00      1.0000000000000E+00      7.4808574619859E+00      0.0000000000000E+00     -4.8650480507067E-03      9.0969447893667E-03      7.1663146233695E+00      7.8587433718221E-01      0.0000000000000E+00      0.0000000000000E+00      7.8587433718221E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -2.6326458620979E-02     -2.6388866826413E+00      1.0000000000000E+00      7.4743089601309E+00      0.0000000000000E+00     -1.3276798077866E-02      1.1680674120481E-02      7.1625206233550E+00      7.8545827852398E-01      0.0000000000000E+00      0.0000000000000E+00      7.8545827852398E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -3.9294832503333E-02     -2.6388817411777E+00      1.0000000000000E+00      7.4661354585354E+00      0.0000000000000E+00     -2.9578719605769E-02      1.4252876036463E-02      7.1572754509298E+00      7.8488308100340E-01      0.0000000000000E+00      0.0000000000000E+00      7.8488308100340E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -5.4828687860730E-02     -2.6388697688047E+00      1.0000000000000E+00      7.4563450234588E+00      0.0000000000000E+00     -5.7586974804853E-02      1.6811012084567E-02      7.1504968856892E+00      7.8413972814415E-01      0.0000000000000E+00      0.0000000000000E+00      7.8413972814415E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -7.2912684538388E-02     -2.6388443639393E+00      1.0000000000000E+00      7.4449473168784E+00      0.0000000000000E+00     -1.0183919089041E-01      1.9352557693363E-02      7.1421235173682E+00      7.8322148555713E-01      0.0000000000000E+00      0.0000000000000E+00      7.8322148555713E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -9.3528947881612E-02     -2.6387955321044E+00      1.0000000000000E+00      7.4319535869545E+00      0.0000000000000E+00     -1.6757196500531E-01      2.1875004664177E-02      7.1321105164961E+00      7.8212343714073E-01      0.0000000000000E+00      0.0000000000000E+00      7.8212343714073E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -1.1665706425660E-01     -2.6387085861119E+00      1.0000000000000E+00      7.4173766569298E+00      0.0000000000000E+00     -2.6069485752246E-01      2.4375863646389E-02      7.1204268063765E+00      7.8084217495387E-01      0.0000000000000E+00      0.0000000000000E+00      7.8084217495387E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -1.4227405993423E-01     -2.6385629353029E+00      1.0000000000000E+00      7.4012309124745E+00      0.0000000000000E+00     -3.8776098167374E-01      2.6852666594116E-02      7.1070530301644E+00      7.7937557628096E-01      0.0000000000000E+00      0.0000000000000E+00      7.7937557628096E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -1.7035435227432E-01     -2.6383307814888E+00      1.0000000000000E+00      7.3835322874889E+00      0.0000000000000E+00     -5.5593431158282E-01      2.9302969201876E-02      7.0919800210827E+00      7.7772263587239E-01      0.0000000000000E+00      0.0000000000000E+00      7.7772263587239E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -2.0086965833853E-01     -2.6379757410664E+00      1.0000000000000E+00      7.3642982483791E+00      0.0000000000000E+00     -7.7295384446245E-01      3.1724353316824E-02      7.0752076254783E+00      7.7588333687824E-01      0.0000000000000E+00      0.0000000000000E+00      7.7588333687824E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -2.3378884177146E-01     -2.6374514145954E+00      1.0000000000000E+00      7.3435477768196E+00      0.0000000000000E+00     -1.0470947658771E+00      3.4114429325177E-02      7.0567437984006E+00      7.7385855166727E-01      0.0000000000000E+00      0.0000000000000E+00      7.7385855166727E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -2.6907767415466E-01     -2.6366999270433E+00      1.0000000000000E+00      7.3213013510206E+00      0.0000000000000E+00     -1.3871267795176E+00      3.6470838510469E-02      7.0366039290673E+00      7.7164996785606E-01      0.0000000000000E+00      0.0000000000000E+00      7.7164996785606E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -3.0669848223708E-01     -2.6356504640339E+00      1.0000000000000E+00      7.2975809255185E+00      0.0000000000000E+00     -1.8022697748351E+00      3.8791255381331E-02      7.0148103760332E+00      7.6926003733450E-01      0.0000000000000E+00      0.0000000000000E+00      7.6926003733450E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -3.4660964770082E-01     -2.6342178319633E+00      1.0000000000000E+00      7.2724099095095E+00      0.0000000000000E+00     -2.3021470170879E+00      4.1073389966455E-02      6.9913922074665E+00      7.6669194778392E-01      0.0000000000000E+00      0.0000000000000E+00      7.6669194778392E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -3.8876492170653E-01     -2.6323010729607E+00      1.0000000000000E+00      7.2458131437474E+00      0.0000000000000E+00     -2.8967360548263E+00      4.3314990074534E-02      6.9663851552236E+00      7.6394961764088E-01      0.0000000000000E+00      0.0000000000000E+00      7.6394961764088E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -4.3311251269584E-01     -2.6297821696209E+00      1.0000000000000E+00      7.2178168760290E+00      0.0000000000000E+00     -3.5963175495277E+00      4.5513843516891E-02      6.9398318056752E+00      7.6103771702347E-01      0.0000000000000E+00      0.0000000000000E+00      7.6103771702347E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -4.7959390318237E-01     -2.6265248794539E+00      1.0000000000000E+00      7.1884487352904E+00      0.0000000000000E+00     -4.4114222409691E+00      4.7667780290649E-02      6.9117820683960E+00      7.5796171912902E-01      0.0000000000000E+00      0.0000000000000E+00      7.5796171912902E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -5.2814234996589E-01     -2.6223737453481E+00      1.0000000000000E+00      7.1577377043410E+00      0.0000000000000E+00     -5.3527762699356E+00      4.9774674720262E-02      6.8822939897041E+00      7.5472798944861E-01      0.0000000000000E+00      0.0000000000000E+00      7.5472798944861E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -5.7868102284732E-01     -2.6171533362359E+00      1.0000000000000E+00      7.1257140912605E+00      0.0000000000000E+00     -6.4312450869989E+00      5.1832447555295E-02      6.8514350172672E+00      7.5134392444664E-01      0.0000000000000E+00      0.0000000000000E+00      7.5134392444664E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -6.3112074006623E-01     -2.6106677817526E+00      1.0000000000000E+00      7.0924094994887E+00      0.0000000000000E+00     -7.6577761823104E+00      5.3839068022397E-02      6.8192838843146E+00      7.4781815818788E-01      0.0000000000000E+00      0.0000000000000E+00      7.4781815818788E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -6.8535726496053E-01     -2.6027006760317E+00      1.0000000000000E+00      7.0578567966369E+00      0.0000000000000E+00     -9.0433408766290E+00      5.5792555829432E-02      6.7859333850756E+00      7.4416086669824E-01      0.0000000000000E+00      0.0000000000000E+00      7.4416086669824E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -7.4126813846753E-01     -2.5930154387935E+00      1.0000000000000E+00      7.0220900820510E+00      0.0000000000000E+00     -1.0598875418115E+01      5.7690983119780E-02      6.7514944909697E+00      7.4038421935562E-01      0.0000000000000E+00      0.0000000000000E+00      7.4038421935562E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -7.9870903681899E-01     -2.5813562362235E+00      1.0000000000000E+00      6.9851446531604E+00      0.0000000000000E+00     -1.2335221632755E+01      5.9532476374905E-02      6.7161025794931E+00      7.3650306196370E-01      0.0000000000000E+00      0.0000000000000E+00      7.3650306196370E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -8.5750966394614E-01     -2.5674495792179E+00      1.0000000000000E+00      6.9470569706427E+00      0.0000000000000E+00     -1.4263067378615E+01      6.1315218263292E-02      6.6799271667396E+00      7.3253598404233E-01      0.0000000000000E+00      0.0000000000000E+00      7.3253598404233E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -9.1746921452298E-01     -2.5510067314361E+00      1.0000000000000E+00      6.9078646224423E+00      0.0000000000000E+00     -1.6392887055475E+01      6.3037449433928E-02      6.6431878096339E+00      7.2850706270251E-01      0.0000000000000E+00      0.0000000000000E+00      7.2850706270251E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -9.7835147699355E-01     -2.5317270728780E+00      1.0000000000000E+00      6.8676062866750E+00      0.0000000000000E+00     -1.8734882421680E+01      6.4697470252576E-02      6.6061817140706E+00      7.2444889021763E-01      0.0000000000000E+00      0.0000000000000E+00      7.2444889021763E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -1.0398796869460E+00     -2.5093025745710E+00      1.0000000000000E+00      6.8263216934580E+00      0.0000000000000E+00     -2.1298923969426E+01      6.6293642479106E-02      6.5693358394760E+00      7.2040828792807E-01      0.0000000000000E+00      0.0000000000000E+00      7.2040828792807E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -1.1017312901112E+00     -2.4834235440280E+00      1.0000000000000E+00      6.7840515857002E+00      0.0000000000000E+00     -2.4094493107934E+01      6.7824390884237E-02      6.5333178265197E+00      7.1645847082594E-01      0.0000000000000E+00      0.0000000000000E+00      7.1645847082594E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -1.1635328309013E+00     -2.4537857965713E+00      1.0000000000000E+00      6.7408376788947E+00      0.0000000000000E+00     -2.7130625401326E+01      6.9288204804104E-02      6.4993219341333E+00      7.1273040405798E-01      0.0000000000000E+00      0.0000000000000E+00      7.1273040405798E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -1.2248552459047E+00     -2.4200993910330E+00      1.0000000000000E+00      6.6967226199503E+00      0.0000000000000E+00     -3.0415855104291E+01      7.0683639631095E-02      6.4701633184047E+00      7.0953280403437E-01      0.0000000000000E+00      0.0000000000000E+00      7.0953280403437E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -1.2852119639961E+00     -2.3821020858726E+00      1.0000000000000E+00      6.6625212475205E+00      0.0000000000000E+00     -3.3952283791585E+01      7.2009318239509E-02      6.4577265448967E+00      7.0816895920605E-01      0.0000000000000E+00      0.0000000000000E+00      7.0816895920605E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -1.3441638928701E+00     -2.3397101667847E+00      1.0000000000000E+00      6.6820293195749E+00      0.0000000000000E+00     -3.7471809275181E+01      7.3263932344611E-02      6.4690877880337E+00      7.0941485893123E-01      0.0000000000000E+00      0.0000000000000E+00      7.0941485893123E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -1.4014208944780E+00     -2.2930956422732E+00      1.0000000000000E+00      6.7018646350765E+00      0.0000000000000E+00     -4.0814804459680E+01      7.4446243793751E-02      6.4921428302376E+00      7.1194312722015E-01      0.0000000000000E+00      0.0000000000000E+00      7.1194312722015E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -1.4567944968558E+00     -2.2425387752568E+00      1.0000000000000E+00      6.7220076189636E+00      0.0000000000000E+00     -4.3966569311847E+01      7.5555085788271E-02      6.5192499271699E+00      7.1491575303331E-01      0.0000000000000E+00      0.0000000000000E+00      7.1491575303331E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -1.5101553553856E+00     -2.1883427981281E+00      1.0000000000000E+00      6.7424383925431E+00      0.0000000000000E+00     -4.6913135125659E+01      7.6589364034993E-02      6.5484424682709E+00      7.1811707339030E-01      0.0000000000000E+00      0.0000000000000E+00      7.1811707339030E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -1.5614341993377E+00     -2.1308261455530E+00      1.0000000000000E+00      6.7631367931079E+00      0.0000000000000E+00     -4.9641321160460E+01      7.7548057826159E-02      6.5787834149781E+00      7.2144433051424E-01      0.0000000000000E+00      0.0000000000000E+00      7.2144433051424E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -1.6106212229271E+00     -2.0703153676359E+00      1.0000000000000E+00      6.7840823938358E+00      0.0000000000000E+00     -5.2138788190952E+01      7.8430221046741E-02      6.6097168688204E+00      7.2483656331627E-01      0.0000000000000E+00      0.0000000000000E+00      7.2483656331627E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -1.6577640953316E+00     -2.0071389884662E+00      1.0000000000000E+00      6.8052545239476E+00      0.0000000000000E+00     -5.4394088756168E+01      7.9234983108145E-02      6.6408667293302E+00      7.2825252776495E-01      0.0000000000000E+00      0.0000000000000E+00      7.2825252776495E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -1.7029647924861E+00     -1.9416225079994E+00      1.0000000000000E+00      6.8266322891070E+00      0.0000000000000E+00     -5.6396713907598E+01      7.9961549807377E-02      6.6719517661487E+00      7.3166138350041E-01      0.0000000000000E+00      0.0000000000000E+00      7.3166138350041E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -1.7463754637335E+00     -1.8740846746768E+00      1.0000000000000E+00      6.8481945920408E+00      0.0000000000000E+00     -5.8137136270411E+01      8.0609204110824E-02      6.7027422456112E+00      7.3503793740725E-01      0.0000000000000E+00      0.0000000000000E+00      7.3503793740725E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -1.7881935403101E+00     -1.8048350863153E+00      1.0000000000000E+00      6.8699201533592E+00      0.0000000000000E+00     -5.9606849246272E+01      8.1177306861881E-02      6.7330338691008E+00      7.3835978563512E-01      0.0000000000000E+00      0.0000000000000E+00      7.3835978563512E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -1.8286562730266E+00     -1.7341731109034E+00      1.0000000000000E+00      6.8917875325561E+00      0.0000000000000E+00     -6.0798402201455E+01      8.1665297411720E-02      6.7626289615267E+00      7.4160525068465E-01      0.0000000000000E+00      0.0000000000000E+00      7.4160525068465E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -1.8680348569904E+00     -1.6623880593323E+00      1.0000000000000E+00      6.9137751491685E+00      0.0000000000000E+00     -6.1705431499783E+01      8.2072694172584E-02      6.7913192018026E+00      7.4475148759237E-01      0.0000000000000E+00      0.0000000000000E+00      7.4475148759237E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -1.9066282657956E+00     -1.5897604901265E+00      1.0000000000000E+00      6.9358613040732E+00      0.0000000000000E+00     -6.2322687256322E+01      8.2399095093057E-02      6.8188641928553E+00      7.4777213386928E-01      0.0000000000000E+00      0.0000000000000E+00      7.4777213386928E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -1.9447568803715E+00     -1.5165644824199E+00      1.0000000000000E+00      6.9580242009019E+00      0.0000000000000E+00     -6.2646055704617E+01      8.2644178054836E-02      6.8449543698346E+00      7.5063324193084E-01      0.0000000000000E+00      0.0000000000000E+00      7.5063324193084E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -1.9827559625084E+00     -1.4430706776450E+00      1.0000000000000E+00      6.9802419675511E+00      0.0000000000000E+00     -6.2672577087571E+01      8.2807701190627E-02      6.8691173395909E+00      7.5328300807140E-01      0.0000000000000E+00      0.0000000000000E+00      7.5328300807140E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -2.0209689934312E+00     -1.3695498621761E+00      1.0000000000000E+00      7.0024926777677E+00      0.0000000000000E+00     -6.2400458999743E+01      8.2889503122839E-02      6.8902348266949E+00      7.5559879966763E-01      0.0000000000000E+00      0.0000000000000E+00      7.5559879966763E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -2.0597326411048E+00     -1.2962724326914E+00      1.0000000000000E+00      7.0170242720642E+00      0.0000000000000E+00     -6.1841997826461E+01      8.2889503122838E-02      6.9053205713896E+00      7.5725313669244E-01      0.0000000000000E+00      0.0000000000000E+00      7.5725313669244E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -2.0993210821813E+00     -1.2234848469558E+00      1.0000000000000E+00      7.0238224095115E+00      0.0000000000000E+00     -6.1075157196024E+01      8.2807701190628E-02      6.9141865271535E+00      7.5822539753719E-01      0.0000000000000E+00      0.0000000000000E+00      7.5822539753719E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -2.1399415432825E+00     -1.1514101169771E+00      1.0000000000000E+00      7.0306104818914E+00      0.0000000000000E+00     -6.0114185937619E+01      8.2644178054836E-02      6.9193988196242E+00      7.5879698936728E-01      0.0000000000000E+00      0.0000000000000E+00      7.5879698936728E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -2.1817801736390E+00     -1.0802740468451E+00      1.0000000000000E+00      7.0373817901959E+00      0.0000000000000E+00     -5.8961188828116E+01      8.2399095093057E-02      6.9215755232546E+00      7.5903569163095E-01      0.0000000000000E+00      0.0000000000000E+00      7.5903569163095E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -2.2250064355739E+00     -1.0103099586324E+00      1.0000000000000E+00      7.0441296519614E+00      0.0000000000000E+00     -5.7619032650790E+01      8.2072694172584E-02      6.9206283901989E+00      7.5893182686901E-01      0.0000000000000E+00      0.0000000000000E+00      7.5893182686901E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -2.2697692928564E+00     -9.4175865192598E-01      1.0000000000000E+00      7.0508474078628E+00      0.0000000000000E+00     -5.6091336542918E+01      8.1665297411720E-02      6.9162310631196E+00      7.5844960599463E-01      0.0000000000000E+00      0.0000000000000E+00      7.5844960599463E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -2.3161935390678E+00     -8.7486785101483E-01      1.0000000000000E+00      7.0575284282863E+00      0.0000000000000E+00     -5.4382459368422E+01      8.1177306861880E-02      6.9078893438108E+00      7.5753483411015E-01      0.0000000000000E+00      0.0000000000000E+00      7.5753483411015E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -2.3643763408890E+00     -8.0989108330489E-01      1.0000000000000E+00      7.0641661198712E+00      0.0000000000000E+00     -5.2497484163769E+01      8.0609204110824E-02      6.8949485603095E+00      7.5611571840129E-01      0.0000000000000E+00      0.0000000000000E+00      7.5611571840129E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -2.4143840821683E+00     -7.4708595267293E-01      1.0000000000000E+00      7.0707539320173E+00      0.0000000000000E+00     -5.0442199716869E+01      7.9961549807377E-02      6.8765777978915E+00      7.5410113887226E-01      0.0000000000000E+00      0.0000000000000E+00      7.5410113887226E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -2.4662496035858E+00     -6.8671179500737E-01      1.0000000000000E+00      7.0772853633494E+00      0.0000000000000E+00     -4.8223079350072E+01      7.9234983108145E-02      6.8517398662919E+00      7.5137735488305E-01      0.0000000000000E+00      0.0000000000000E+00      7.5137735488305E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -2.5199699384675E+00     -6.2902672954385E-01      1.0000000000000E+00      7.0837539681333E+00      0.0000000000000E+00     -4.5847256989375E+01      7.8430221046741E-02      6.8191479885088E+00      7.4780325554518E-01      0.0000000000000E+00      0.0000000000000E+00      7.4780325554518E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -2.5755046466972E+00     -5.7428414795973E-01      1.0000000000000E+00      7.0901533626370E+00      0.0000000000000E+00     -4.3322500612697E+01      7.7548057826158E-02      6.7772058193379E+00      7.4320378201807E-01      0.0000000000000E+00      0.0000000000000E+00      7.4320378201807E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -2.6327748447393E+00     -5.2272871243791E-01      1.0000000000000E+00      7.0964772314309E+00      0.0000000000000E+00     -4.0657183180425E+01      7.6589364034994E-02      6.7239208924545E+00      7.3736043591939E-01      0.0000000000000E+00      0.0000000000000E+00      7.3736043591939E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -2.6916630198232E+00     -4.7459196269218E-01      1.0000000000000E+00      7.1027193336198E+00      0.0000000000000E+00     -3.7860251161387E+01      7.5555085788270E-02      6.6567648875074E+00      7.2999595589734E-01      0.0000000000000E+00      0.0000000000000E+00      7.2999595589734E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -2.7520137000019E+00     -4.3008765871646E-01      1.0000000000000E+00      7.1088735090025E+00      0.0000000000000E+00     -3.4941190776920E+01      7.4446243793751E-02      6.5723992013180E+00      7.2074422314494E-01      0.0000000000000E+00      0.0000000000000E+00      7.2074422314494E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -2.8136350291601E+00     -3.8940700911976E-01      1.0000000000000E+00      7.1149336841510E+00      0.0000000000000E+00     -3.1909992094712E+01      7.3263932344612E-02      6.4659411292156E+00      7.0906978917879E-01      0.0000000000000E+00      0.0000000000000E+00      7.0906978917879E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -2.8763012676924E+00     -3.5271395268452E-01      1.0000000000000E+00      7.1208938784040E+00      0.0000000000000E+00     -2.8777111112629E+01      7.2009318239509E-02      6.3270697207720E+00      6.9384083513478E-01      0.0000000000000E+00      0.0000000000000E+00      6.9384083513478E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -2.9397236221072E+00     -3.2007270606366E-01      1.0000000000000E+00      6.8013338129103E+00      0.0000000000000E+00     -2.5675038464609E+01      7.0683639631096E-02      6.1323637861914E+00      6.7248894014751E-01      0.0000000000000E+00      0.0000000000000E+00      6.7248894014751E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -3.0035180836352E+00     -2.9132413501396E-01      1.0000000000000E+00      6.4234354141856E+00      0.0000000000000E+00     -2.2827580967036E+01      6.9288204804103E-02      5.9028668922507E+00      6.4732178954225E-01      0.0000000000000E+00      0.0000000000000E+00      6.4732178954225E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -3.0672797398591E+00     -2.6616140355497E-01      1.0000000000000E+00      6.0532564645212E+00      0.0000000000000E+00     -2.0230643231746E+01      6.7824390884236E-02      5.6559905849852E+00      6.2024877300100E-01      0.0000000000000E+00      0.0000000000000E+00      6.2024877300100E-01      0.0000000000000E+00
Main                 0.0000000000000E+00     -3.1306570613260E+00     -2.4426538831044E-01      1.0000000000000E+00      5.6911622858482E+00      0.0000000000000E+00     -1.7874600869821E+01      6.6293642479107E-02      5.3983840088641E+00      5.9199905080728E-01      0.0000000000000E+00      0.0000000000000E+00      5.9199905080728E-01      0.0000000000000E+00
